ID;Code No;Name;Z;Density;Atomic wght;valel s+p,n;valel s+p,n+1;s+p, n+n+1;valel d;valel f;Energy gap 300 K;Melting point, C
340;;HgSO4;;6.47;296.6516;;;;;42;0;
342;;MoF6;;2.55;209.9304;;;;;48;0;
344;;MoS2;;4.7;160.068;;;;;18;0;
345;;NdCl3;;4.13;250.599;;;;;30;0;
347;;NiF2;;4.63;96.7068;;;;;24;0;
349;;NbCl5;;2.75;270.171;;;;;40;0;
351;;NbO;;6.5;108.9054;;;;;11;0;
353;;N2H4;;1.01;32.04528;;;;;14;0;
355;;NH2OH;;1.2;33.03001;;;;;14;0;
357;;OsO4;;4.9;254.1976;;;;;32;0;
359;;PCl5;;1.6;208.2388;;;;;40;0;
346;;NiCl2;;3.54;129.616;;;;;24;0;
348;;NiO;;7.45;74.7094;;;;;16;0;
350;;NbF5;;3.92;187.898;;;;;40;0;
352;;Nb2O5;;4.46;265.809;;;;;40;0;
354;;N2H4.H2SO4;;1.37;130.12282;;;;;46;0;
356;;NH2OH.HCl;;1.67;69.49098;;;;;22;0;
358;;PdO;;8.31;122.3994;;;;;16;0;
360;;P2O3;;2.13;109.9458;;;;;28;0;
361;;P2O5;;2.39;141.9446;;;;;40;0;
